                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0821,                 1.1822,                 1.3837,                0.61467,                0.78843,                 0.6672,                 0.3409,                 1.5483,                 1.9982,                 1.8015,              0.0011708,              0.0011708,              0.0011708
                     35,                 1.1463,                 1.1819,                 1.3945,                0.64532,                0.81435,                 0.7678,                0.40385,                 1.5605,                 1.8381,                  1.879,              0.0011683,              0.0011683,              0.0011683
                     36,                 1.1431,                 1.1979,                 1.3844,                0.66819,                0.89158,                0.76986,                0.41373,                 1.5638,                 1.7727,                 1.7221,              0.0011658,              0.0011658,              0.0011658
                     37,                 1.0632,                 1.1584,                 1.4088,                 0.6204,                0.71744,                0.67755,                0.41519,                 1.3254,                 1.7272,                 1.5027,              0.0011634,              0.0011634,              0.0011634
                     38,                 1.1162,                 1.2106,                 1.4128,                0.63046,                0.82188,                0.67815,                0.42077,                 1.2567,                 1.5771,                 1.5967,              0.0011609,              0.0011609,              0.0011609
                     39,                  1.027,                 1.0711,                 1.3304,                0.58933,                0.76596,                0.67598,                0.42831,                 1.2724,                 1.7173,                 1.5546,              0.0011584,              0.0011584,              0.0011584
                     40,                 1.0276,                   1.12,                 1.3797,                0.59813,                0.77069,                0.62384,                  0.377,                 1.4536,                 1.5227,                 1.6285,              0.0011559,              0.0011559,              0.0011559
                     41,                 1.0378,                 1.1737,                 1.3614,                0.64326,                0.77361,                0.63555,                0.39525,                 1.3957,                 1.5602,                 1.5851,              0.0011535,              0.0011535,              0.0011535
                     42,                 1.0906,                 1.1064,                 1.3626,                0.67944,                0.72857,                  0.678,                0.37995,                 1.5128,                 1.6988,                 1.6924,               0.001151,               0.001151,               0.001151
                     43,                 1.0548,                 1.0922,                  1.318,                0.59054,                  0.918,                0.72701,                0.40485,                 1.4224,                 1.7439,                  1.742,              0.0011485,              0.0011485,              0.0011485
                     44,                 1.0153,                 1.1238,                  1.332,                0.55036,                0.74186,                0.80488,                0.47462,                 1.4475,                 1.7204,                 1.7896,              0.0011461,              0.0011461,              0.0011461
                     45,                 1.0237,                 1.0115,                 1.2868,                0.79128,                0.72976,                  0.881,                0.47706,                  1.523,                 1.7806,                 1.8695,              0.0011436,              0.0011436,              0.0011436
                     46,                 1.0369,                 1.0847,                  1.318,                 0.6953,                 0.9524,                 0.8444,                0.42626,                 1.6194,                 1.5443,                 1.9661,              0.0011411,              0.0011411,              0.0011411
                     47,                 1.0177,                 1.0933,                 1.3462,                 0.7766,                 0.8991,                0.83282,                0.43914,                  1.241,                 1.2426,                  1.624,              0.0011386,              0.0011386,              0.0011386
                     48,                 1.0433,                 1.0755,                 1.3577,                0.52034,                0.98599,                0.70104,                0.38758,                 1.2717,                 1.4609,                 1.6139,              0.0011362,              0.0011362,              0.0011362
                     49,                 1.0383,                 1.0412,                 1.3379,                0.49065,                0.92467,                0.67971,                0.36673,                 1.4701,                 1.5754,                 1.7422,              0.0011337,              0.0011337,              0.0011337
                     50,                 1.0279,                   1.03,                 1.3353,                0.57827,                0.87823,                 0.7206,                0.38105,                 1.4736,                 1.8455,                 1.7292,              0.0011312,              0.0011312,              0.0011312
                     51,                0.99374,                  1.042,                  1.304,                0.74391,                0.74038,                0.74468,                0.45001,                 1.3795,                 1.7996,                 1.5649,              0.0011287,              0.0011287,              0.0011287
                     52,                0.95364,                 1.0117,                 1.3206,                0.61814,                0.87647,                 0.6955,                 0.3892,                 1.3947,                 1.6317,                 1.5539,              0.0011263,              0.0011263,              0.0011263
                     53,                 1.0108,                 1.0563,                 1.3026,                 0.5883,                0.94509,                 0.7729,                0.44984,                 1.3176,                 1.5292,                 1.5106,              0.0011238,              0.0011238,              0.0011238
                     54,                 1.0466,                 1.0017,                 1.3254,                0.63618,                0.92857,                0.83958,                0.43072,                 1.3932,                 1.5052,                 1.6208,              0.0011213,              0.0011213,              0.0011213
                     55,                 1.0169,                 1.0117,                 1.3225,                0.60181,                0.96429,                0.76982,                 0.3464,                 1.6588,                 1.5696,                 1.7832,              0.0011188,              0.0011188,              0.0011188
                     56,                0.97894,                 1.0041,                  1.289,                0.61373,                0.90918,                0.75053,                0.41939,                 1.3881,                 1.4288,                 1.5777,              0.0011164,              0.0011164,              0.0011164
                     57,                0.99357,                  1.007,                 1.3161,                0.63813,                0.86265,                0.76065,                0.49764,                 1.3136,                 1.3825,                 1.5164,              0.0011139,              0.0011139,              0.0011139
                     58,                 0.9679,                0.93683,                 1.2734,                0.69973,                0.96955,                0.79877,                 0.5581,                 1.2352,                 1.4722,                 1.4599,              0.0011114,              0.0011114,              0.0011114
                     59,                 1.0075,                0.95116,                  1.311,                0.68809,                0.73141,                0.64626,                0.42897,                 1.1794,                 1.4433,                 1.4854,              0.0011089,              0.0011089,              0.0011089
                     60,                0.93814,                0.92009,                 1.2951,                0.52908,                   0.75,                 0.5957,                0.39309,                 1.1508,                 1.4184,                 1.4659,              0.0011065,              0.0011065,              0.0011065
                     61,                0.97178,                0.92437,                 1.2655,                0.48619,                   0.75,                0.60656,                0.38903,                 1.1599,                 1.4124,                 1.4966,               0.001104,               0.001104,               0.001104
                     62,                0.99498,                0.96431,                 1.2774,                0.51856,                0.95881,                0.69687,                0.42724,                 1.2606,                 1.3523,                 1.5933,              0.0011015,              0.0011015,              0.0011015
                     63,                0.94993,                0.92418,                 1.2835,                 0.6306,                0.78955,                0.68015,                0.43695,                   1.35,                  1.431,                 1.6337,               0.001099,               0.001099,               0.001099
                     64,                0.94558,                0.92866,                 1.2696,                0.64512,                0.90909,                0.69479,                0.45626,                 1.1877,                 1.4107,                 1.5101,              0.0010965,              0.0010965,              0.0010965
                     65,                 0.9356,                0.90252,                 1.2327,                0.64683,                0.94189,                0.75881,                  0.515,                 1.0961,                 1.2736,                 1.4433,              0.0010941,              0.0010941,              0.0010941
                     66,                0.95388,                0.91685,                 1.2724,                0.56497,                0.92857,                0.70374,                0.47238,                  1.057,                  1.182,                  1.428,              0.0010916,              0.0010916,              0.0010916
                     67,                0.96728,                0.93378,                 1.2835,                0.57501,                0.99583,                 0.6746,                0.44756,                 1.1622,                 1.2939,                 1.4564,              0.0010891,              0.0010891,              0.0010891
                     68,                0.93609,                0.89369,                 1.2908,                 0.5761,                0.76813,                0.65354,                0.43941,                  1.262,                 1.3575,                 1.4803,              0.0010866,              0.0010866,              0.0010866
                     69,                0.94125,                0.91772,                 1.2952,                0.67131,                0.74887,                 0.7255,                0.48208,                 1.2749,                 1.3919,                 1.4895,              0.0010842,              0.0010842,              0.0010842
                     70,                0.94613,                 0.9239,                 1.2853,                0.53196,                  0.875,                0.67535,                0.43755,                 1.2037,                 1.2982,                 1.4923,              0.0010817,              0.0010817,              0.0010817
                     71,                 0.9061,                0.86866,                 1.2349,                0.67852,                0.83929,                0.65041,                0.41041,                 1.2025,                 1.2829,                 1.4716,              0.0010792,              0.0010792,              0.0010792
                     72,                0.93047,                0.88135,                 1.2544,                0.53545,                0.83929,                0.66968,                 0.4318,                 1.1549,                 1.1912,                 1.4326,              0.0010768,              0.0010768,              0.0010768
                     73,                0.97431,                 0.8799,                 1.2825,                0.57045,                0.93416,                0.64498,                0.43498,                  1.127,                 1.1269,                 1.4289,              0.0010743,              0.0010743,              0.0010743
                     74,                0.94011,                0.93164,                 1.2808,                0.54424,                  0.945,                0.64882,                0.43717,                  1.162,                 1.1583,                 1.4712,              0.0010718,              0.0010718,              0.0010718
                     75,                0.94791,                0.89351,                 1.2966,                0.50621,                0.96429,                0.67312,                0.44217,                 1.2206,                 1.2044,                 1.5304,              0.0010693,              0.0010693,              0.0010693
                     76,                0.91351,                0.93693,                 1.2885,                0.57347,                0.97196,                0.72566,                0.45352,                 1.2329,                 1.1776,                 1.5779,              0.0010669,              0.0010669,              0.0010669
                     77,                0.88504,                0.87659,                 1.2323,                0.60212,                0.98704,                0.72314,                  0.456,                 1.1871,                 1.1115,                 1.5434,              0.0010644,              0.0010644,              0.0010644
                     78,                0.94726,                 0.9106,                 1.2356,                0.61023,                0.96429,                0.71763,                0.43043,                 1.2154,                 1.0365,                 1.5948,              0.0010619,              0.0010619,              0.0010619
                     79,                0.95414,                0.89188,                 1.2934,                 0.6415,                0.83317,                0.69804,                0.43157,                 1.2776,                  1.103,                 1.5695,              0.0010594,              0.0010594,              0.0010594
                     80,                0.93409,                0.87249,                 1.2491,                0.67087,                0.96027,                0.77387,                0.49337,                 1.2298,                0.99934,                 1.5505,               0.001057,               0.001057,               0.001057
                     81,                0.89852,                0.82488,                 1.2231,                0.67246,                0.96429,                0.77447,                0.47412,                 1.2092,                0.97168,                 1.5098,              0.0010545,              0.0010545,              0.0010545
                     82,                0.93863,                 0.8317,                 1.2423,                 0.7618,                0.91136,                 0.8069,                0.47787,                 1.1885,                 1.0567,                 1.4983,               0.001052,               0.001052,               0.001052
                     83,                0.90588,                0.81916,                 1.2541,                0.71962,                0.83929,                0.77733,                0.45024,                 1.2432,                 1.0983,                 1.5004,              0.0010495,              0.0010495,              0.0010495
                     84,                0.88507,                0.83433,                 1.2151,                0.66445,                0.87146,                 0.7796,                0.45826,                  1.224,                0.99847,                 1.4882,               0.001047,               0.001047,               0.001047
                     85,                0.89523,                0.82186,                 1.2625,                  0.689,                0.86772,                0.78071,                0.47145,                 1.2307,                0.99169,                 1.4815,              0.0010446,              0.0010446,              0.0010446
                     86,                0.92556,                0.83649,                 1.2384,                0.67071,                0.88041,                0.78378,                0.48527,                 1.3523,                 1.0801,                  1.626,              0.0010421,              0.0010421,              0.0010421
                     87,                0.85166,                0.80606,                 1.2179,                0.52333,                0.96429,                0.76265,                0.50829,                 1.3242,                 1.2783,                 1.5899,              0.0010396,              0.0010396,              0.0010396
                     88,                 0.8909,                0.84375,                 1.2471,                0.73145,                0.93552,                 0.8427,                  0.584,                 1.1665,                 1.1973,                 1.5018,              0.0010372,              0.0010372,              0.0010372
                     89,                0.86215,                0.78867,                 1.2176,                0.62037,                0.96395,                0.76126,                0.53942,                 1.1248,                 1.0632,                 1.4918,              0.0010347,              0.0010347,              0.0010347
                     90,                0.91362,                0.80322,                 1.2561,                0.64691,                0.81661,                0.74295,                0.49832,                  1.134,                0.99347,                 1.5361,              0.0010322,              0.0010322,              0.0010322
                     91,                 0.9215,                0.75935,                 1.2523,                0.72606,                0.83929,                 0.7592,                0.46784,                 1.1308,                 1.0958,                 1.5509,              0.0010297,              0.0010297,              0.0010297
                     92,                0.88776,                0.80028,                 1.2449,                0.72906,                0.86825,                0.84995,                0.53279,                 1.0928,                 1.1841,                 1.4844,              0.0010273,              0.0010273,              0.0010273
                     93,                0.94255,                0.88067,                 1.3173,                0.60917,                      1,                0.85073,                0.53528,                 1.1336,                 1.2425,                 1.5174,              0.0010248,              0.0010248,              0.0010248
                     94,                0.92548,                0.82428,                 1.2802,                 0.7507,                0.89856,                0.87917,                0.49207,                 1.4333,                 1.3268,                 1.6937,              0.0010223,              0.0010223,              0.0010223
                     95,                0.88138,                0.83342,                 1.2515,                0.64644,                0.99072,                0.82292,                0.44649,                 1.5279,                 1.2987,                 1.8104,              0.0010198,              0.0010198,              0.0010198
                     96,                0.89786,                0.81106,                 1.2632,                0.60977,                0.99958,                0.80802,                0.42848,                 1.3889,                  1.215,                 1.6885,              0.0010173,              0.0010173,              0.0010173
                     97,                0.88231,                0.78198,                 1.2149,                0.58076,                      1,                0.78496,                0.42785,                 1.2686,                 1.2054,                  1.611,              0.0010149,              0.0010149,              0.0010149
                     98,                0.88467,                0.80232,                 1.2263,                0.68577,                0.85331,                 0.7515,                0.45316,                 1.1499,                  1.218,                 1.4791,              0.0010124,              0.0010124,              0.0010124
                     99,                0.85653,                0.80375,                 1.2442,                0.71342,                0.84711,                0.73058,                0.44694,                 1.1078,                 1.1365,                 1.4897,              0.0010099,              0.0010099,              0.0010099
                    100,                0.86006,                0.78707,                 1.1921,                0.70303,                0.83929,                0.71404,                0.44387,                 1.1901,                 1.1107,                 1.5375,              0.0010075,              0.0010075,              0.0010075
                    101,                0.86478,                0.77728,                 1.2235,                0.69361,                0.86375,                0.71521,                0.46947,                 1.1909,                 1.1398,                 1.5066,               0.001005,               0.001005,               0.001005
                    102,                0.88994,                0.79327,                 1.2492,                0.64838,                0.86583,                0.67743,                0.45579,                 1.2242,                 1.2546,                 1.4917,              0.0010025,              0.0010025,              0.0010025
                    103,                0.88864,                0.79715,                 1.2184,                0.75057,                0.78486,                0.74251,                 0.4586,                 1.2622,                 1.3044,                 1.5143,                  0.001,                  0.001,                  0.001
                    104,                0.85752,                0.77057,                  1.206,                0.56565,                      1,                0.74009,                0.41897,                 1.2632,                 1.2655,                 1.5917,             0.00099755,             0.00099755,             0.00099755
                    105,                0.86769,                0.76907,                 1.2248,                0.57679,                0.98765,                0.73659,                0.45928,                 1.2937,                 1.2163,                 1.6089,             0.00099507,             0.00099507,             0.00099507
                    106,                 0.8476,                0.76653,                 1.2254,                0.60449,                0.96934,                0.73775,                 0.4785,                 1.2124,                 1.1657,                 1.5127,              0.0009926,              0.0009926,              0.0009926
                    107,                0.89718,                0.80026,                 1.2374,                0.57807,                0.97593,                0.69629,                0.43365,                 1.2418,                 1.1104,                  1.552,             0.00099013,             0.00099013,             0.00099013
                    108,                0.86391,                0.76429,                 1.2152,                0.55966,                   0.85,                0.65461,                0.41162,                 1.2442,                 1.1419,                 1.5411,             0.00098765,             0.00098765,             0.00098765
                    109,                0.83551,                0.74871,                 1.2072,                0.58356,                   0.85,                0.66218,                0.41652,                 1.2263,                 1.1737,                 1.5322,             0.00098518,             0.00098518,             0.00098518
                    110,                0.87715,                0.77251,                 1.2084,                0.53005,                0.81429,                0.66074,                0.42551,                 1.2043,                 1.1925,                 1.5093,              0.0009827,              0.0009827,              0.0009827
                    111,                0.81892,                0.74621,                 1.1889,                0.58368,                0.95703,                 0.7443,                0.47489,                 1.1838,                 1.1134,                 1.5351,             0.00098022,             0.00098022,             0.00098022
                    112,                0.85606,                0.74326,                 1.2075,                0.55947,                0.95782,                0.74422,                0.46603,                 1.2099,                  1.166,                 1.5435,             0.00097775,             0.00097775,             0.00097775
                    113,                 0.8395,                0.72872,                 1.2037,                0.65731,                0.93831,                0.76967,                 0.5008,                 1.2435,                 1.1833,                 1.5547,             0.00097528,             0.00097528,             0.00097528
                    114,                0.82365,                0.73201,                 1.2105,                0.57611,                0.97566,                0.76225,                0.49987,                 1.2617,                 1.1043,                 1.5222,              0.0009728,              0.0009728,              0.0009728
